"Ref","DeletionMark","Parent","IsFolder","Code","SetByDefault","Posting","Description_en","Description_hash","Description_ru","Description_tr","UniqueID"
"e1cib/data/Catalog.ObjectStatuses?refName=PhysicalInventory","False","","True","1","","","Инвентаризация товаров","","","","_011ff8e30cf94565b46e079f1abb75a6"
"e1cib/data/Catalog.ObjectStatuses?refName=IncomingPaymentOrder","False","","True","1","","","IncomingPaymentOrder","","","","_d74a42dedf1b4837ab902b5246719782"
"e1cib/data/Catalog.ObjectStatuses?refName=PhysicalCountByLocation","False","","True","2","","","Пересчет товаров","","","","_f2caef1fffef41d3b1e506c06265f7cc"
"e1cib/data/Catalog.ObjectStatuses?refName=ReconciliationStatement","False","","True","4","","","Сверка взаиморасчетов","","","","_2bc125ff84c345afb9a379ecf9973f7a"
"e1cib/data/Catalog.ObjectStatuses?refName=OutgoingPaymentOrder","False","","True","5","","","Заявки на расходование денежных средств","","","","_394edf09b6764e62b535ea75ef2b4720"
"e1cib/data/Catalog.ObjectStatuses?refName=InventoryTransferOrder","False","","True","6","","","Заказ на перемещение товаров","","","","_483611bad5e54081a794d036a2346f4a"
"e1cib/data/Catalog.ObjectStatuses?refName=PurchaseReturnOrder","False","","True","7","","","Заявка на возврат поставщику","","","","_0c1f63bf35804c1dabcf07d054ff1f70"
"e1cib/data/Catalog.ObjectStatuses?refName=PurchaseOrder","False","","True","8","","","Возврат поставщику","","","","_369503c2c7ba48a3a9301e20bcc5860a"
"e1cib/data/Catalog.ObjectStatuses?refName=SalesReturnOrder","False","","True","9","","","Заявка на возврат от клиента","","","","_fa0f6210cc9344dd93c439e04aee6889"
"e1cib/data/Catalog.ObjectStatuses?refName=SalesOrder","False","","True","10","","","Заказ клиента","","","","_53e7ae4fe81b45e2a261171cf3f73563"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb766bf96b2788","False","e1cib/data/Catalog.ObjectStatuses?refName=SalesOrder","False","11","False","False","На согласовании","","","","_e96c5a6be90a46b499efaef7c6f44ae9"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb766bf96b2789","False","e1cib/data/Catalog.ObjectStatuses?refName=SalesOrder","False","12","True","True","Согласовано","","","","_e0cb85b20091495d9bde24e1a4d1e2cb"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb766bf96b278a","False","e1cib/data/Catalog.ObjectStatuses?refName=SalesReturnOrder","False","13","True","True","Согласовано","","","","_b2376400750e4304b84c237d9f19725c"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb766bf96b278b","False","e1cib/data/Catalog.ObjectStatuses?refName=PurchaseOrder","False","14","True","True","Согласовано","","","","_68b977a1c5c7429a88fac13e225ef169"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a1c","False","e1cib/data/Catalog.ObjectStatuses?refName=PurchaseReturnOrder","False","15","True","True","Согласовано","","","","_df704d8afba34edfb64eaa4c2ae337f0"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a1d","False","e1cib/data/Catalog.ObjectStatuses?refName=InventoryTransferOrder","False","16","True","False","Подготовлено","","","","_dca4228cbfdf4de7acc2a4a19467e93e"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a1e","False","e1cib/data/Catalog.ObjectStatuses?refName=InventoryTransferOrder","False","17","False","True","Согласовано","","","","_ba6e42553f084d648795b9d2e7f28b13"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a1f","False","e1cib/data/Catalog.ObjectStatuses?refName=OutgoingPaymentOrder","False","18","True","False","На согласовании","","","","_04e45f2868b84b18a7bb32cb5d623a18"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a20","False","e1cib/data/Catalog.ObjectStatuses?refName=OutgoingPaymentOrder","False","19","False","False","Согласовано","","","","_ae13b9000d764b8eb50e83eef27451e3"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a21","False","e1cib/data/Catalog.ObjectStatuses?refName=ReconciliationStatement","False","20","True","True","Согласовано","","","","_865788d8a36b46df96cfad57a5afe67d"
"e1cib/data/Catalog.ObjectStatuses?refName=Complete","False","e1cib/data/Catalog.ObjectStatuses?refName=PhysicalCountByLocation","False","21","False","True","Завершено","","","","_7c7e7273456b4fc594f457fa7d369765"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a22","False","e1cib/data/Catalog.ObjectStatuses?refName=PhysicalCountByLocation","False","22","True","False","Подготовлено","","","","_a6dc69ec771a4802820a1578ce0ff11f"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a23","False","e1cib/data/Catalog.ObjectStatuses?refName=PhysicalInventory","False","23","True","False","Подготовлено","","","","_f6a41eee9db84589ad93300ec634c8a3"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a24","False","e1cib/data/Catalog.ObjectStatuses?refName=PhysicalInventory","False","24","False","True","Завершено","","","","_c1209341a53b4023b524b57081157e6a"
"e1cib/data/Catalog.ObjectStatuses?ref=b76bafe8d8921be311ebc44d41a46794","False","e1cib/data/Catalog.ObjectStatuses?refName=IncomingPaymentOrder","False","25","False","False","На согласовании","","","","_b9335c1f9b0d40a9a77e0c86bdf06260"
"e1cib/data/Catalog.ObjectStatuses?ref=b76bafe8d8921be311ebc44d41a46795","False","e1cib/data/Catalog.ObjectStatuses?refName=IncomingPaymentOrder","False","26","True","True","Согласовано","","","","_52af65cf7e95432f9414dd8a5f862e13"
