"Retail return receipt 203 dated 09.08.2021 11:41:58","","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","","",""
"Register  ""R2005 Sales special offers""","","","","","","","","","","","","",""
"","Period","Resources","","","","Dimensions","","","","","","",""
"","","Sales amount","Net amount","Offers amount","Net offer amount","Company","Branch","Multi currency movement type","Currency","Invoice","Item key","Row key","Special offer"
"","09.08.2021 11:41:58","-8 260,02","-7 000,02","-777,78","","Main Company","Shop 01","Local currency","TRY","Retail sales receipt 203 dated 09.08.2021 11:39:42","36/18SD","996e771d-7b70-4d2f-9a32-f92836115173","DocumentDiscount"
"","09.08.2021 11:41:58","-8 260,02","-7 000,02","-777,78","","Main Company","Shop 01","TRY","TRY","Retail sales receipt 203 dated 09.08.2021 11:39:42","36/18SD","996e771d-7b70-4d2f-9a32-f92836115173","DocumentDiscount"
"","09.08.2021 11:41:58","-8 260,02","-7 000,02","-777,78","","Main Company","Shop 01","en description is empty","TRY","Retail sales receipt 203 dated 09.08.2021 11:39:42","36/18SD","996e771d-7b70-4d2f-9a32-f92836115173","DocumentDiscount"
"","09.08.2021 11:41:58","-1 414,12","-1 198,4","-133,16","","Main Company","Shop 01","Reporting currency","USD","Retail sales receipt 203 dated 09.08.2021 11:39:42","36/18SD","996e771d-7b70-4d2f-9a32-f92836115173","DocumentDiscount"
"","09.08.2021 11:41:58","-468","-396,61","-44,07","","Main Company","Shop 01","Local currency","TRY","Retail sales receipt 203 dated 09.08.2021 11:39:42","XS/Blue","8c5b09d8-ec48-4846-be01-39bd9dc72d58","DocumentDiscount"
"","09.08.2021 11:41:58","-468","-396,61","-44,07","","Main Company","Shop 01","TRY","TRY","Retail sales receipt 203 dated 09.08.2021 11:39:42","XS/Blue","8c5b09d8-ec48-4846-be01-39bd9dc72d58","DocumentDiscount"
"","09.08.2021 11:41:58","-468","-396,61","-44,07","","Main Company","Shop 01","en description is empty","TRY","Retail sales receipt 203 dated 09.08.2021 11:39:42","XS/Blue","8c5b09d8-ec48-4846-be01-39bd9dc72d58","DocumentDiscount"
"","09.08.2021 11:41:58","-80,12","-67,9","-7,54","","Main Company","Shop 01","Reporting currency","USD","Retail sales receipt 203 dated 09.08.2021 11:39:42","XS/Blue","8c5b09d8-ec48-4846-be01-39bd9dc72d58","DocumentDiscount"
